Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Eagle,ACR,"$844,673.25",$17.09,"49,425",Large Shareholder,2023-05-19,1,Purchase
Eagle,ACR,"$604,700.55",$21.95,"27,549",Large Shareholder,2022-08-18,1,Purchase
Eagle,ACR,"$716,746.80",$9.24,"77,570",Large Shareholder,2022-08-05,1,Purchase
Dye,SHWZ,"$750,000.00",$1.50,"500,000","Large Shareholder, Officer, Director",2023-02-13,1,Purchase
Dutkowsky,USFD,"$1,020,210.00",$32.91,"31,000",Director,2022-03-07,1,Purchase
Durn,ADBE,"$936,357.50",$288.11,"3,250",Officer,2022-09-22,1,Purchase
Durable,DUOL,"$665,369.53",$69.23,"9,611",Large Shareholder,2022-12-27,1,Purchase
Durable,DUOL,"$1,405,800.00",$70.29,"20,000",Large Shareholder,2022-12-23,1,Purchase
Durable,DUOL,"$1,767,582.18",$69.62,"25,389",Large Shareholder,2022-12-22,1,Purchase
Durable,DUOL,"$719,800.00",$71.98,"10,000",Large Shareholder,2022-12-22,1,Purchase
Durable,DUOL,"$1,055,700.00",$70.38,"15,000",Large Shareholder,2022-12-22,1,Purchase
Durable,DUOL,"$1,500,130.22",$71.78,"20,899",Large Shareholder,2022-12-22,1,Purchase
Durable,DUOL,"$517,803.00",$72.93,"7,100",Large Shareholder,2022-12-21,1,Purchase
Durable,DUOL,"$3,573,568.50",$72.70,"49,155",Large Shareholder,2022-12-20,1,Purchase
Durable,DUOL,"$1,142,417.00",$72.25,"15,812",Large Shareholder,2022-12-19,1,Purchase
Durable,DUOL,"$3,700,040.40",$72.21,"51,240",Large Shareholder,2022-12-19,1,Purchase
Durable,DUOL,"$787,638.18",$72.97,"10,794",Large Shareholder,2022-12-16,1,Purchase
Durable,DUOL,"$1,939,963.68",$72.92,"26,604",Large Shareholder,2022-12-16,1,Purchase
Durable,DUOL,"$4,576,955.46",$72.82,"62,853",Large Shareholder,2022-12-15,1,Purchase
Durable,DUOL,"$2,141,326.80",$72.76,"29,430",Large Shareholder,2022-12-13,1,Purchase
Durable,CWAN,"$1,101,347.19",$13.59,"81,041",Large Shareholder,2022-06-10,1,Purchase
Durable,CWAN,"$697,500.00",$13.95,"50,000",Large Shareholder,2022-06-08,1,Purchase
Durable,CWAN,"$1,206,791.90",$13.70,"88,087",Large Shareholder,2022-06-07,1,Purchase
Durable,CWAN,"$676,000.00",$13.52,"50,000",Large Shareholder,2022-06-07,1,Purchase
Durable,CWAN,"$3,337,500.00",$13.35,"250,000",Large Shareholder,2022-06-07,1,Purchase
Durable,CWAN,"$876,133.00",$13.45,"65,140",Large Shareholder,2022-06-07,1,Purchase
Durable,YOU,"$678,425.00",$24.67,"27,500",Large Shareholder,2022-05-11,1,Purchase
Durable,YOU,"$500,200.00",$25.01,"20,000",Large Shareholder,2022-05-11,1,Purchase
Durable,YOU,"$1,257,856.00",$25.36,"49,600",Large Shareholder,2022-05-10,1,Purchase
Durable,YOU,"$1,065,064.00",$25.48,"41,800",Large Shareholder,2022-05-09,1,Purchase
Durable,YOU,"$756,000.00",$25.20,"30,000",Large Shareholder,2022-05-09,1,Purchase
Durable,YOU,"$1,297,000.00",$25.94,"50,000",Large Shareholder,2022-05-09,1,Purchase
Durable,YOU,"$1,282,500.00",$25.65,"50,000",Large Shareholder,2022-05-09,1,Purchase
Durable,YOU,"$597,104.83",$25.27,"23,629",Large Shareholder,2022-05-09,1,Purchase
Durable,DUOL,"$785,900.00",$78.59,"10,000",Large Shareholder,2022-05-09,1,Purchase
Durable,DUOL,"$785,000.00",$78.50,"10,000",Large Shareholder,2022-05-09,1,Purchase
Durable,DUOL,"$2,916,800.00",$72.92,"40,000",Large Shareholder,2022-05-09,1,Purchase
Durable,DUOL,"$2,966,400.00",$74.16,"40,000",Large Shareholder,2022-05-09,1,Purchase
Durable,DUOL,"$2,857,626.40",$77.30,"36,968",Large Shareholder,2022-05-09,1,Purchase
Durable,DUOL,"$1,547,382.00",$88.93,"17,400",Large Shareholder,2022-04-20,1,Purchase
Durable,DUOL,"$1,842,926.80",$88.88,"20,735",Large Shareholder,2022-04-19,1,Purchase
Durable,DUOL,"$785,439.00",$88.60,"8,865",Large Shareholder,2022-04-18,1,Purchase
Durable,DUOL,"$1,152,190.00",$88.63,"13,000",Large Shareholder,2022-04-18,1,Purchase
Durable,DUOL,"$3,789,147.96",$88.92,"42,613",Large Shareholder,2022-04-14,1,Purchase
Durable,DUOL,"$1,347,300.00",$89.82,"15,000",Large Shareholder,2022-04-14,1,Purchase
Durable,DUOL,"$1,393,057.38",$89.31,"15,598",Large Shareholder,2022-04-14,1,Purchase
Durable,YOU,"$627,422.40",$27.96,"22,440",Large Shareholder,2022-04-07,1,Purchase
Durable,YOU,"$4,948,612.90",$26.95,"183,622",Large Shareholder,2022-04-06,1,Purchase
Durable,YOU,"$1,082,626.80",$27.70,"39,084",Large Shareholder,2022-04-05,1,Purchase
Durable,DUOL,"$10,037,000.00",$100.37,"100,000",Large Shareholder,2022-04-05,1,Purchase
Durable,DUOL,"$10,039,000.00",$100.39,"100,000",Large Shareholder,2022-04-05,1,Purchase
Durable,DUOL,"$5,560,334.94",$100.78,"55,173",Large Shareholder,2022-04-05,1,Purchase
Durable,CWAN,"$783,833.65",$16.99,"46,135",Large Shareholder,2022-03-15,1,Purchase
Durable,CWAN,"$840,000.00",$16.80,"50,000",Large Shareholder,2022-03-15,1,Purchase
Durable,CWAN,"$636,192.00",$16.92,"37,600",Large Shareholder,2022-03-15,1,Purchase
Durable,CWAN,"$590,800.35",$17.15,"34,449",Large Shareholder,2022-03-15,1,Purchase
Durable,CWAN,"$554,364.00",$17.11,"32,400",Large Shareholder,2022-03-15,1,Purchase
Durable,CWAN,"$858,500.00",$17.17,"50,000",Large Shareholder,2022-03-15,1,Purchase
Durable,CWAN,"$650,560.00",$17.12,"38,000",Large Shareholder,2022-03-14,1,Purchase
Durable,CWAN,"$1,970,101.02",$17.09,"115,278",Large Shareholder,2022-03-14,1,Purchase
Durable,DUOL,"$1,387,539.36",$79.84,"17,379",Large Shareholder,2022-03-11,1,Purchase
Durable,DUOL,"$1,512,254.25",$79.95,"18,915",Large Shareholder,2022-03-10,1,Purchase
Durable,DUOL,"$1,423,466.00",$79.97,"17,800",Large Shareholder,2022-03-09,1,Purchase
Durable,DUOL,"$820,948.70",$79.82,"10,285",Large Shareholder,2022-03-09,1,Purchase
Durable,DUOL,"$934,654.91",$79.81,"11,711",Large Shareholder,2022-03-09,1,Purchase
Durable,DUOL,"$6,711,860.97",$76.97,"87,201",Large Shareholder,2022-03-08,1,Purchase
Durable,DUOL,"$1,402,368.00",$79.68,"17,600",Large Shareholder,2022-03-07,1,Purchase
Durable,DUOL,"$1,541,033.52",$78.52,"19,626",Large Shareholder,2022-03-07,1,Purchase
Durable,DUOL,"$2,350,464.48",$79.72,"29,484",Large Shareholder,2022-03-07,1,Purchase
Durable,YOU,"$2,619,743.34",$22.53,"116,278",Large Shareholder,2022-03-04,1,Purchase
Durable,YOU,"$919,751.07",$23.73,"38,759",Large Shareholder,2022-03-04,1,Purchase
Durable,YOU,"$629,250.00",$25.17,"25,000",Large Shareholder,2022-03-04,1,Purchase
Durable,YOU,"$630,250.00",$25.21,"25,000",Large Shareholder,2022-03-04,1,Purchase
Durable,YOU,"$634,250.00",$25.37,"25,000",Large Shareholder,2022-03-03,1,Purchase
Durable,YOU,"$5,838,273.07",$24.89,"234,563",Large Shareholder,2022-03-03,1,Purchase
Durable,YOU,"$6,525,455.10",$25.71,"253,810",Large Shareholder,2022-03-02,1,Purchase
Durable,YOU,"$2,599,000.00",$25.99,"100,000",Large Shareholder,2022-03-01,1,Purchase
Durable,YOU,"$1,719,419.30",$25.79,"66,670",Large Shareholder,2022-03-01,1,Purchase
Durable,YOU,"$986,480.00",$25.96,"38,000",Large Shareholder,2022-03-01,1,Purchase
Durable,YOU,"$920,671.20",$25.56,"36,020",Large Shareholder,2022-03-01,1,Purchase
Durable,YOU,"$1,743,839.57",$25.63,"68,039",Large Shareholder,2022-03-01,1,Purchase
Durable,WRBY,"$1,363,500.00",$27.27,"50,000",Large Shareholder,2022-02-23,2,Purchase
Durable,WRBY,"$1,366,500.00",$27.33,"50,000",Large Shareholder,2022-02-23,2,Purchase
Durable,WRBY,"$3,425,000.00",$27.40,"125,000",Large Shareholder,2022-02-23,2,Purchase
Durable,WRBY,"$2,720,000.00",$27.20,"100,000",Large Shareholder,2022-02-23,2,Purchase
Durable,WRBY,"$834,000.00",$27.80,"30,000",Large Shareholder,2022-02-23,2,Purchase
Durable,WRBY,"$1,245,036.51",$27.87,"44,673",Large Shareholder,2022-02-23,2,Purchase
Durable,YOU,"$1,663,827.82",$25.99,"64,018",Large Shareholder,2022-02-23,1,Purchase
Durable,DUOL,"$3,444,800.00",$86.12,"40,000",Large Shareholder,2022-02-22,1,Purchase
Durable,DUOL,"$1,924,230.00",$85.75,"22,440",Large Shareholder,2022-02-22,1,Purchase
Durable,DUOL,"$1,767,800.00",$88.39,"20,000",Large Shareholder,2022-02-22,1,Purchase
Durable,DUOL,"$3,444,800.00",$86.12,"40,000",Large Shareholder,2022-02-22,1,Purchase
Durable,DUOL,"$1,924,230.00",$85.75,"22,440",Large Shareholder,2022-02-22,1,Purchase
Durable,DUOL,"$1,767,800.00",$88.39,"20,000",Large Shareholder,2022-02-22,1,Purchase
Durable,DUOL,"$871,905.95",$90.55,"9,629",Large Shareholder,2022-02-18,1,Purchase
Durable,DUOL,"$1,805,400.00",$90.27,"20,000",Large Shareholder,2022-02-18,1,Purchase
Durable,DUOL,"$871,905.95",$90.55,"9,629",Large Shareholder,2022-02-18,1,Purchase
Durable,DUOL,"$1,805,400.00",$90.27,"20,000",Large Shareholder,2022-02-18,1,Purchase
Durable,WRBY,"$603,400.00",$30.17,"20,000",Large Shareholder,2022-02-16,2,Purchase
Durable,WRBY,"$984,597.00",$30.11,"32,700",Large Shareholder,2022-02-16,2,Purchase
Durable,WRBY,"$3,488,220.80",$30.20,"115,504",Large Shareholder,2022-02-16,2,Purchase
Durable,WRBY,"$3,045,000.00",$30.45,"100,000",Large Shareholder,2022-02-16,2,Purchase
Durable,WRBY,"$739,692.00",$30.44,"24,300",Large Shareholder,2022-02-16,2,Purchase
Durable,WRBY,"$701,500.00",$30.50,"23,000",Large Shareholder,2022-02-16,2,Purchase
Durable,WRBY,"$607,600.00",$30.38,"20,000",Large Shareholder,2022-02-15,2,Purchase
Durable,WRBY,"$1,101,748.58",$30.43,"36,206",Large Shareholder,2022-02-15,2,Purchase
Durable,WRBY,"$3,274,000.00",$32.74,"100,000",Large Shareholder,2022-02-07,2,Purchase
Durable,WRBY,"$2,632,800.00",$32.91,"80,000",Large Shareholder,2022-02-07,2,Purchase
Durable,WRBY,"$1,867,728.85",$32.99,"56,615",Large Shareholder,2022-02-07,2,Purchase
Durable,YOU,"$627,139.80",$25.38,"24,710",Large Shareholder,2022-02-07,1,Purchase
Durable,YOU,"$514,200.00",$25.71,"20,000",Large Shareholder,2022-02-07,1,Purchase
Durable,WRBY,"$2,088,535.75",$32.95,"63,385",Large Shareholder,2022-02-04,2,Purchase
Durable,WRBY,"$1,713,508.88",$32.98,"51,956",Large Shareholder,2022-02-04,2,Purchase
Durable,DUOL,"$1,385,936.41",$90.59,"15,299",Large Shareholder,2022-02-04,1,Purchase
Durable,DUOL,"$852,200.00",$85.22,"10,000",Large Shareholder,2022-02-04,1,Purchase
Durable,YOU,"$1,351,284.00",$25.52,"52,950",Large Shareholder,2022-02-04,1,Purchase
Durable,WRBY,"$660,200.00",$33.01,"20,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$660,200.00",$33.01,"20,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$653,600.00",$32.68,"20,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$660,200.00",$33.01,"20,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$2,617,600.00",$32.72,"80,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$1,306,400.00",$32.66,"40,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$3,289,000.00",$32.89,"100,000",Large Shareholder,2022-02-03,2,Purchase
Durable,WRBY,"$1,700,000.00",$34.00,"50,000",Large Shareholder,2022-02-03,2,Purchase
Durable,DUOL,"$5,132,400.00",$85.54,"60,000",Large Shareholder,2022-02-03,1,Purchase
Durable,DUOL,"$4,246,000.00",$84.92,"50,000",Large Shareholder,2022-02-03,1,Purchase
Durable,DUOL,"$4,266,000.00",$85.32,"50,000",Large Shareholder,2022-02-03,1,Purchase
Durable,DUOL,"$2,172,383.40",$88.60,"24,519",Large Shareholder,2022-02-03,1,Purchase
Durable,YOU,"$717,829.08",$23.46,"30,598",Large Shareholder,2022-02-03,1,Purchase
Durable,YOU,"$2,995,703.12",$23.74,"126,188",Large Shareholder,2022-02-03,1,Purchase
Durable,CWAN,"$768,776.56",$17.09,"44,984",Large Shareholder,2022-02-03,1,Purchase
Durable,CWAN,"$729,514.34",$17.18,"42,463",Large Shareholder,2022-02-02,1,Purchase
Durable,CWAN,"$1,259,106.39",$17.13,"73,503",Large Shareholder,2022-02-02,1,Purchase
Durable,WRBY,"$1,803,000.00",$36.06,"50,000",Large Shareholder,2022-02-02,2,Purchase
Durable,WRBY,"$3,605,000.00",$36.05,"100,000",Large Shareholder,2022-02-02,2,Purchase
Durable,WRBY,"$2,178,055.44",$35.97,"60,552",Large Shareholder,2022-02-02,2,Purchase
Durable,DUOL,"$933,500.00",$93.35,"10,000",Large Shareholder,2022-02-02,1,Purchase
Durable,DUOL,"$674,812.00",$92.44,"7,300",Large Shareholder,2022-02-02,1,Purchase
Durable,DUOL,"$2,501,564.94",$93.66,"26,709",Large Shareholder,2022-02-02,1,Purchase
Durable,YOU,"$1,541,059.80",$24.15,"63,812",Large Shareholder,2022-02-02,1,Purchase
Durable,YOU,"$2,754,321.70",$24.70,"111,511",Large Shareholder,2022-02-02,1,Purchase
Durable,WRBY,"$718,966.16",$36.08,"19,927",Large Shareholder,2022-02-01,2,Purchase
Durable,DUOL,"$1,105,914.00",$97.01,"11,400",Large Shareholder,2022-02-01,1,Purchase
Durable,YOU,"$524,160.00",$24.96,"21,000",Large Shareholder,2022-02-01,1,Purchase
Durable,YOU,"$1,174,838.72",$25.52,"46,036",Large Shareholder,2022-02-01,1,Purchase
Durable,DUOL,"$2,261,250.00",$90.45,"25,000",Large Shareholder,2022-01-28,1,Purchase
Durable,DUOL,"$679,433.70",$90.70,"7,491",Large Shareholder,2022-01-28,1,Purchase
Durable,YOU,"$1,080,493.87",$20.69,"52,223",Large Shareholder,2022-01-28,1,Purchase
Durable,WRBY,"$1,217,300.00",$34.78,"35,000",Large Shareholder,2022-01-28,2,Purchase
Durable,WRBY,"$3,041,497.20",$35.40,"85,918",Large Shareholder,2022-01-28,2,Purchase
Durable,WRBY,"$707,701.70",$33.91,"20,870",Large Shareholder,2022-01-28,2,Purchase
Durable,WRBY,"$4,945,846.56",$34.13,"144,912",Large Shareholder,2022-01-27,2,Purchase
Durable,WRBY,"$3,688,650.99",$35.19,"104,821",Large Shareholder,2022-01-27,2,Purchase
Durable,DUOL,"$1,802,800.00",$90.14,"20,000",Large Shareholder,2022-01-27,1,Purchase
Durable,DUOL,"$2,858,325.75",$86.75,"32,949",Large Shareholder,2022-01-27,1,Purchase
Durable,YOU,"$1,085,500.00",$21.71,"50,000",Large Shareholder,2022-01-27,1,Purchase
Durable,YOU,"$1,656,112.50",$21.03,"78,750",Large Shareholder,2022-01-27,1,Purchase
Durable,YOU,"$1,546,570.24",$21.76,"71,074",Large Shareholder,2022-01-27,1,Purchase
Durable,WRBY,"$3,433,962.73",$34.87,"98,479",Large Shareholder,2022-01-26,2,Purchase
Durable,WRBY,"$4,064,112.64",$35.84,"113,396",Large Shareholder,2022-01-26,2,Purchase
Durable,DUOL,"$555,874.00",$91.88,"6,050",Large Shareholder,2022-01-26,1,Purchase
Durable,YOU,"$622,487.52",$21.52,"28,926",Large Shareholder,2022-01-26,1,Purchase
Durable,YOU,"$2,830,005.60",$21.90,"129,224",Large Shareholder,2022-01-26,1,Purchase
Durable,DUOL,"$5,358,600.00",$89.31,"60,000",Large Shareholder,2022-01-25,1,Purchase
Durable,DUOL,"$2,655,900.00",$88.53,"30,000",Large Shareholder,2022-01-24,1,Purchase
Durable,DUOL,"$3,274,663.03",$86.51,"37,853",Large Shareholder,2022-01-24,1,Purchase
Durable,DUOL,"$1,204,320.00",$92.64,"13,000",Large Shareholder,2022-01-14,1,Purchase
Durable,DUOL,"$636,020.00",$90.86,"7,000",Large Shareholder,2022-01-14,1,Purchase
Durable,DUOL,"$1,155,700.00",$91.00,"12,700",Large Shareholder,2022-01-14,1,Purchase
Durable,CWAN,"$1,370,117.54",$17.38,"78,833",Large Shareholder,2022-01-14,1,Purchase
Durable,WRBY,"$2,097,054.60",$34.26,"61,210",Large Shareholder,2022-01-14,2,Purchase
Durable,WRBY,"$1,292,094.90",$33.31,"38,790",Large Shareholder,2022-01-14,2,Purchase
Durable,WRBY,"$1,239,510.04",$33.73,"36,748",Large Shareholder,2022-01-14,2,Purchase
Durable,WRBY,"$3,942,275.98",$34.49,"114,302",Large Shareholder,2022-01-14,2,Purchase
Durable,WRBY,"$1,537,722.42",$34.71,"44,302",Large Shareholder,2022-01-14,2,Purchase
Durable,DUOL,"$987,122.88",$92.22,"10,704",Large Shareholder,2022-01-13,1,Purchase
Durable,DUOL,"$7,351,719.18",$96.62,"76,089",Large Shareholder,2022-01-13,1,Purchase
Durable,WRBY,"$6,933,063.90",$36.05,"192,318",Large Shareholder,2022-01-13,2,Purchase
Durable,DUOL,"$3,723,116.28",$103.87,"35,844",Large Shareholder,2022-01-12,1,Purchase
Durable,CWAN,"$1,873,730.46",$17.99,"104,154",Large Shareholder,2022-01-12,1,Purchase
Durable,WRBY,"$3,955,350.00",$37.67,"105,000",Large Shareholder,2022-01-12,2,Purchase
Durable,WRBY,"$1,392,952.00",$38.72,"35,975",Large Shareholder,2022-01-12,2,Purchase
Durable,DUOL,"$2,176,087.84",$103.94,"20,936",Large Shareholder,2022-01-11,1,Purchase
Durable,WRBY,"$1,937,500.00",$38.75,"50,000",Large Shareholder,2022-01-11,2,Purchase
Durable,WRBY,"$5,824,500.00",$38.83,"150,000",Large Shareholder,2022-01-11,2,Purchase
Durable,WRBY,"$3,743,000.00",$37.43,"100,000",Large Shareholder,2022-01-11,2,Purchase
Durable,WRBY,"$1,304,294.54",$36.62,"35,617",Large Shareholder,2022-01-11,2,Purchase
Durable,DUOL,"$4,119,924.20",$100.85,"40,852",Large Shareholder,2022-01-10,1,Purchase
Durable,WRBY,"$1,865,000.00",$37.30,"50,000",Large Shareholder,2022-01-10,2,Purchase
Durable,WRBY,"$1,853,500.00",$37.07,"50,000",Large Shareholder,2022-01-10,2,Purchase
Durable,WRBY,"$2,202,144.00",$36.16,"60,900",Large Shareholder,2022-01-10,2,Purchase
Durable,WRBY,"$3,714,228.02",$36.97,"100,466",Large Shareholder,2022-01-10,2,Purchase
Durable,DUOL,"$2,618,129.25",$101.75,"25,731",Large Shareholder,2022-01-07,1,Purchase
Durable,DUOL,"$2,140,685.25",$103.29,"20,725",Large Shareholder,2022-01-07,1,Purchase
Durable,WRBY,"$2,296,607.30",$39.65,"57,922",Large Shareholder,2022-01-07,2,Purchase
Durable,WRBY,"$2,252,459.04",$40.56,"55,534",Large Shareholder,2022-01-07,2,Purchase
Durable,WRBY,"$2,308,500.00",$40.50,"57,000",Large Shareholder,2022-01-07,2,Purchase
Durable,WRBY,"$4,130,000.00",$41.30,"100,000",Large Shareholder,2022-01-07,2,Purchase
Durable,WRBY,"$1,047,500.00",$41.90,"25,000",Large Shareholder,2022-01-07,2,Purchase
Durable,WRBY,"$1,050,000.00",$42.00,"25,000",Large Shareholder,2022-01-07,2,Purchase
Durable,WRBY,"$4,961,609.76",$43.08,"115,172",Large Shareholder,2022-01-07,2,Purchase
Durable,DUOL,"$1,458,432.15",$98.35,"14,829",Large Shareholder,2022-01-06,1,Purchase
Durable,WRBY,"$851,600.00",$42.58,"20,000",Large Shareholder,2022-01-06,2,Purchase
Durable,WRBY,"$1,557,057.84",$40.56,"38,389",Large Shareholder,2022-01-06,2,Purchase
Durable,DUOL,"$910,674.24",$97.44,"9,346",Large Shareholder,2022-01-05,1,Purchase
Durable,DUOL,"$1,823,627.52",$99.63,"18,304",Large Shareholder,2022-01-05,1,Purchase
Durable,WRBY,"$5,909,174.43",$42.73,"138,291",Large Shareholder,2022-01-05,2,Purchase
Durable,DUOL,"$3,347,023.68",$104.49,"32,032",Large Shareholder,2022-01-04,1,Purchase
Durable,WRBY,"$611,905.28",$44.06,"13,888",Large Shareholder,2022-01-04,2,Purchase
Durable,WRBY,"$8,656,274.71",$43.93,"197,047",Large Shareholder,2022-01-04,2,Purchase
Durable,DUOL,"$3,675,597.72",$105.73,"34,764",Large Shareholder,2022-01-03,1,Purchase
Duggan,PLSE,"$65,249,319.87",$6.51,"10,022,937","Large Shareholder, Director",2023-05-09,1,Purchase
Duggan,SMMT,"$395,314,374.00",$1.05,"376,489,880","Officer, Director",2023-03-06,2,Purchase
Duggan,SMMT,"$92,003,726.91",$0.97,"94,849,203","Officer, Director",2022-08-16,2,Purchase
Dufresne,CAPIX,"$1,000,000.00",$10.02,"99,800",Officer,2023-06-22,4,Purchase
Duckworth,MP,"$583,224.00",$38.37,"15,200",Director,2022-05-09,2,Purchase
Dreiling,DLTR,"$1,008,200.00",$142.00,"7,100","Officer, Director",2023-03-09,1,Purchase
Doyle,CIVI,"$2,005,737.22",$59.66,"33,622",Officer,2022-08-09,1,Purchase
Douglas,UNFI,"$1,003,632.96",$22.22,"45,168","Officer, Director",2023-03-24,1,Purchase
Dorman,PYPL,"$1,002,372.00",$119.33,"8,400",Director,2022-02-08,3,Purchase
Donegal,DGICA,"$2,148,384.00",$15.57,"138,000",Large Shareholder,2023-06-14,1,Purchase
Donegal,DGICA,"$2,148,384.00",$15.57,"138,000",Large Shareholder,2023-06-14,1,Purchase
Donegal,DGICA,"$536,165.00",$15.32,"35,000",Large Shareholder,2023-03-08,1,Purchase
Donegal,DGICA,"$923,640.00",$15.39,"60,000",Large Shareholder,2023-03-03,1,Purchase
Donegal,DGICA,"$1,127,250.00",$15.03,"75,000",Large Shareholder,2022-12-01,1,Purchase
Donegal,DGICA,"$693,000.00",$15.40,"45,000",Large Shareholder,2022-11-14,1,Purchase
Donegal,DGICA,"$1,091,964.96",$15.41,"70,870",Large Shareholder,2022-08-23,1,Purchase
Donegal,DGICA,"$772,791.75",$14.25,"54,231",Large Shareholder,2022-05-05,1,Purchase
Dondero,NXDT,"$1,641,247.59",$13.83,"118,673","Large Shareholder, Officer, Director",2022-11-28,1,Purchase
Dondero,NXRT,"$1,275,692.64",$44.78,"28,488","Large Shareholder, Officer, Director",2022-11-04,1,Purchase
Dondero,NXDT,"$616,529.68",$12.28,"50,206","Large Shareholder, Officer, Director",2022-09-29,1,Purchase
Dondero,NXDT,"$633,590.04",$12.82,"49,422","Large Shareholder, Officer, Director",2022-09-28,1,Purchase
Dondero,NXDT,"$517,668.48",$15.54,"33,312","Large Shareholder, Officer, Director",2022-07-14,1,Purchase
Dondero,NXRT,"$1,006,120.50",$59.01,"17,050","Large Shareholder, Officer, Director",2022-06-16,1,Purchase
Dondero,NXDT,"$986,700.00",$14.95,"66,000","Large Shareholder, Officer",2022-06-13,1,Purchase
Dondero,NXDT,"$2,006,550.00",$15.75,"127,400","Large Shareholder, Officer",2022-05-03,1,Purchase
Dondero,NRSAX,"$4,558,694.08",$20.66,"220,653","Large Shareholder, Officer",2022-03-11,1,Purchase
Dondero,NXDT,"$564,600.75",$15.05,"37,515","Large Shareholder, Officer",2022-02-14,1,Purchase
Dondero,NXDT,"$694,697.60",$15.04,"46,190","Large Shareholder, Officer",2022-02-11,1,Purchase
Dondero,NXDT,"$566,783.10",$15.06,"37,635","Large Shareholder, Officer",2022-02-10,1,Purchase
Dondero,NXDT,"$864,141.04",$13.88,"62,258","Large Shareholder, Officer",2022-01-26,1,Purchase
Doman,PRG,"$962,500.00",$19.25,"50,000","Officer, Director",2022-08-03,1,Purchase
Dolan,MSGE,"$9,999,980.00",$31.00,"322,580","Director, Other",2023-06-27,1,Purchase
Dillon,FL,"$501,280.36",$39.74,"12,614","Officer, Director",2023-03-28,1,Purchase
Dhawan,EMFLX,"$1,000,000.00",$10.05,"99,502",Other,2022-03-21,1,Purchase
Dexcel,ROIV,"$20,000,000.00",$5.00,"4,000,000",Large Shareholder,2022-11-10,1,Purchase
Desimone,HLF,"$936,516.12",$21.54,"43,478",Officer,2022-05-11,1,Purchase
Denner,INVA,"$814,196.40",$13.13,"62,000",,2023-06-15,1,Purchase
Denner,INVA,"$1,560,648.00",$13.01,"120,000",,2023-05-30,1,Purchase
Denner,INVA,"$654,330.00",$13.09,"50,000",,2023-05-25,1,Purchase
Denner,INVA,"$653,690.00",$13.07,"50,000",,2023-05-17,1,Purchase
Denner,INVA,"$653,690.00",$13.07,"50,000",,2023-05-17,1,Purchase
Denner,INVA,"$3,577,411.00",$12.34,"290,000",,2023-05-11,1,Purchase
Denali,DECA,"$5,100,000.00",$10.00,"510,000",,2022-04-11,2,Purchase
Demchak,PNC,"$1,004,639.00",$153.38,"6,550",Officer,2023-01-20,1,Purchase
Delgado-Moreira,HLNE,"$856,541.85",$69.35,"12,351","Large Shareholder, Officer",2022-08-31,1,Purchase
Delaney,NBTB,"$1,190,800.00",$29.77,"40,000",Director,2023-05-02,1,Purchase
Del,BY,"$914,420.00",$18.29,"50,000","Large Shareholder, Director",2023-05-02,2,Purchase
Del,BY,"$1,026,330.00",$20.53,"50,000","Large Shareholder, Director",2023-03-13,2,Purchase
Del,BY,"$1,124,662.50",$24.99,"45,000","Large Shareholder, Director",2023-02-16,2,Purchase
Del,BY,"$1,014,948.00",$22.55,"45,000","Large Shareholder, Director",2022-12-07,2,Purchase
Del,BY,"$979,055.00",$22.52,"43,478","Large Shareholder, Director",2022-12-05,2,Purchase
Dejoria,HPK,"$50,000,007.84",$21.61,"2,313,744",Large Shareholder,2022-08-22,3,Purchase
Defranco,DISH,"$1,800,000.00",$6.00,"300,000",,2023-06-01,1,Purchase
Defranco,DISH,"$2,456,000.00",$6.14,"400,000",,2023-05-12,1,Purchase
Defranco,DISH,"$3,690,000.00",$6.15,"600,000",,2023-05-12,1,Purchase
Defranco,DISH,"$6,230,000.00",$6.23,"1,000,000",,2023-05-11,1,Purchase
Defranco,DISH,"$6,210,000.00",$6.21,"1,000,000",,2023-05-11,1,Purchase
Defranco,DISH,"$1,719,000.00",$11.46,"150,000",,2023-03-08,1,Purchase
Defranco,DISH,"$1,136,000.00",$11.36,"100,000",,2023-03-07,1,Purchase
Defranco,DISH,"$5,440,000.00",$10.88,"500,000",,2023-03-06,1,Purchase
Defranco,DISH,"$548,000.00",$10.96,"50,000",,2023-03-06,1,Purchase
Defranco,DISH,"$15,718,000.00",$10.84,"1,450,000",,2023-03-02,1,Purchase
Defranco,DISH,"$1,840,300.00",$16.73,"110,000",,2022-09-06,1,Purchase
Defranco,DISH,"$2,571,924.96",$17.82,"144,328",,2022-08-22,1,Purchase
Defranco,DISH,"$1,829,000.00",$18.29,"100,000",,2022-08-19,1,Purchase
Defranco,DISH,"$1,644,808.55",$17.93,"91,735",,2022-08-19,1,Purchase
Defranco,DISH,"$2,963,466.07",$18.11,"163,637",,2022-08-18,1,Purchase
Defranco,DISH,"$2,971,711.69",$18.53,"160,373",,2022-08-17,1,Purchase
